"","Depth_ft","Al_wt%","Si_wt%","K_wt%","Ti_wt%","Fe_wt%","S_wt%","Mg_wt%","Ca_wt%","Sr_wt%","P_wt%","Mo_ppm","V_ppm","U_ppm","Ni_ppm","Cu_ppm","Zn_ppm","Th_ppm","Rb_ppm","Zr_ppm","Pb_ppm","Chemofacies","Formation"
"30",6155.6,8.49,28.92,2.58,0.51,4.91,2.99,1.75,4.37,0.02,0.13,19.32,241.91,19.18,138.16,75.05,60.93,7.8,53.07,136.44,70.85,2,"Utica FM"
"31",6156,7.36,23.24,2.1,0.001,4.96,2.33,2.75,9.88,0.03,0.15,13.04,10,15.08,128.7,59.83,49.05,6.09,101.54,123.95,53.45,2,"Utica FM"
"32",6156.6,8.3,27.02,2.49,0.46,4.65,2.68,2.22,6.07,0.02,0.16,13.97,197.9,15.22,136.78,59.7,57.77,8.94,51.11,131.29,54.85,2,"Utica FM"
"33",6157,8.05,26.53,2.39,0.001,4.79,2.82,1.68,6.23,0.02,0.14,13.33,10,16.34,148.7,65.12,52.83,19.67,50.41,106.64,73.13,2,"Utica FM"
"34",6157.6,4.18,13.26,1.27,0.001,3.38,1.21,1.24,20.7,0.03,0.02,9.29,10,19.85,89.88,46.37,68.27,9.91,40.56,96.52,34.82,1,"Utica FM"
"35",6158,8.67,27.29,2.52,0.46,4.76,3.03,2.43,6.82,0.02,0.17,15.7,203.57,17.75,120.82,60.11,58.84,11.18,47.94,128.29,65.18,2,"Utica FM"
"36",6158.6,8.61,27.21,2.46,0.43,4.57,3.06,2.02,7.14,0.03,0.17,15.83,181.4,16.7,124.36,72.4,87.04,6.41,46.55,125.53,58,2,"Utica FM"
"37",6159,8.42,28.24,2.67,0.001,5.04,3.9,1.14,3.28,0.02,0.12,23.4,10,12.04,139.74,72.46,115.87,9.96,133.8,126.68,65.4,2,"Utica FM"
"38",6159.6,7.27,24.81,2.46,0.44,4.58,2.58,1.16,6.74,0.03,0.13,12.53,205.79,14.42,114.89,68.79,73.86,8.1,50.22,126.79,58,2,"Utica FM"
"39",6160,7.5,26.57,2.49,0.001,4.45,4.75,1.59,5.15,0.02,0.1,18.21,10,19.02,142.17,72.12,101.58,9.45,53.11,106.38,57.14,2,"Utica FM"
"40",6160.6,8.97,28.69,2.39,0.45,4.66,3.21,1.58,6.03,0.03,0.06,10.79,190.38,13.38,133.53,65.58,100.84,10.04,47.92,132.53,57.45,2,"Utica FM"
"41",6161,8.32,27.17,2.5,0.001,4.29,2.84,1.89,6.43,0.03,0.1,10.04,10,16.25,122.67,58.8,68.02,7,114.51,130.27,44.73,2,"Utica FM"
"42",6161.6,6.79,23.74,2.21,0.39,4.02,2.47,1.07,10.39,0.04,0.12,12.27,155.28,19.12,111.1,47.49,61.54,8.09,42.81,117.45,42.28,2,"Utica FM"
"43",6162,6.69,22.55,1.97,0.001,4.35,2.36,1.71,12.34,0.04,0.07,10.49,10,17.105,105.08,46.11,57.92,9.96,93.1,118.11,36.25,2,"Utica FM"
"44",6162.6,7.64,26.27,2.37,0.001,4.52,2.55,1.72,6.9,0.02,0.12,7.42,10,15.09,116.32,66.62,81.65,29.02,49.57,103.1,41.25,1,"Utica FM"
"45",6163,7.81,26.38,2.34,0.42,4.3,2.49,1.78,7.34,0.03,0.14,8.17,151.81,13.63,124.24,51.35,72.96,6.88,47.94,125.06,43.44,2,"Utica FM"
"46",6163.6,7.32,25.79,2.19,0.001,4.18,2.72,1.47,9.31,0.04,0.14,13.3,10,13.265,121.64,57.29,68.38,10.31,101.48,113.44,41,2,"Utica FM"
"47",6164,6.32,23.71,2.05,1.23,4.19,2.48,1,8.62,0.03,0.02,9.4,10,12.9,127.48,70.37,68.28,10.24,43.83,99.34,43.09,1,"Utica FM"
"48",6164.6,8.12,29.32,2.36,0.46,4.19,2.8,1.3,6.02,0.03,0.13,12.69,184.18,19.32,123.56,71.51,96.02,6.57,48,126.28,43.97,2,"Utica FM"
"49",6165,7.52,26.3,2.26,0.4,4.38,2.99,1.69,8.27,0.03,0.06,7.45,165.88,13.7,127.56,66.64,99.19,10.9,44.77,116.81,51.26,2,"Utica FM"
"50",6165.6,6.78,24.66,2.26,0.41,4.06,2.12,1.17,9.04,0.03,0.09,9.63,176.1,14.21,113.93,50.25,65.14,8.92,44.73,129.38,34,2,"Utica FM"
"51",6166,7.1,25.25,2.27,0.43,4.38,2.57,1.46,7.11,0.03,0.11,8.81,180.87,8.99,109.91,54.68,82.26,12.3,48.96,127.6,35.45,2,"Utica FM"
"52",6166.6,7.98,27.8,2.33,0.43,3.91,2.54,2,7.91,0.03,0.1,11.01,191.49,20.69,108.71,50.55,83.36,11.41,45.95,132.04,27.63,2,"Utica FM"
"53",6167,7.35,26.48,2.07,0.001,4.1,2.65,1.29,9.36,0.03,0.2,13.14,10,23.58,117.69,48.11,133.23,9.46,44.11,123,31.77,2,"Utica FM"
"54",6167.6,8.17,28.79,2.43,0.48,4.05,2.79,0.88,6.53,0.03,0.18,9.62,220.19,19.73,118.35,56.39,180.93,8.33,47.75,135.97,25.52,2,"Utica FM"
"55",6168,7.8,27.69,2.27,0.46,4.06,2.52,0.9,6.72,0.03,0.17,15.39,199.87,16.55,114.62,84.28,1622.14,10.7,47.64,133.88,23.82,2,"Utica FM"
"56",6168.6,8.54,29.47,2.59,0.001,4.13,2.22,1.53,5.28,0.02,0.14,10.05,10,14.97,125,70.03,121.85,12.06,52.19,112.48,30.39,1,"Utica FM"
"57",6169,7.87,30.52,2.5,0.001,4.29,2.8,1.22,3.13,0.02,0.06,18.38,10,11.19,115.81,61.62,108.16,9.27,127.86,133.8,38.19,2,"Utica FM"
"58",6169.9,7.09,26.37,2.26,0.4,4.54,3.38,1.3,6.77,0.03,0.19,20.74,173.83,17.99,138.22,64.59,113.55,7.72,45.17,126.84,44.78,2,"Utica FM"
"59",6170,7.96,28.86,2.51,0.62,4.27,2.62,1.18,4.93,0.02,0.13,18.64,220.33,19.33,123.7,60.29,96.82,9.22,51.08,126.96,35.9,2,"Utica FM"
"60",6170.6,6.9,25.85,2.01,0.001,4.18,2.79,1.56,8.24,0.03,0.13,13.4,10,14.4,131.54,67.59,101.39,23.67,43.38,110.95,36.14,1,"Utica FM"
"61",6171,7.52,27.89,2.07,0.001,4.26,3.34,0.95,8.16,0.04,0.13,14,10,12.3,113.45,55.15,94.4,8.64,105.66,127.33,43.04,2,"Utica FM"
"62",6171.6,7.23,26.1,2.15,0.42,4.3,3.27,1.09,9.17,0.04,0.13,15.54,171.72,10.2,111.23,65.52,93.43,8.46,45.66,125.85,42.95,2,"Utica FM"
"63",6172,5.61,22.51,1.97,0.001,3.74,2.54,0.93,10.74,0.04,0.07,5.87,10,12.235,111.39,56.31,81.91,8.96,97.69,123.43,28.56,2,"Utica FM"
"64",6172.6,0.21,2.32,2.13,0.36,4.07,0.29,0.3,9.08,0.04,0.02,13.83,143.37,13.2525,114.06,64.24,124.46,25.07,43.64,128.38,37.74,2,"Utica FM"
"65",6173,6.67,25.93,1.99,0.001,4.25,2.79,1.01,8.12,0.04,0.02,11.68,10,13.76125,119.41,56.05,111.19,7.76,104.63,128.5,43.35,2,"Utica FM"
"66",6173.6,6.33,24.37,2.03,0.39,3.81,1.96,1.2,9.31,0.04,0.09,7.93,164.84,14.27,109.77,56.85,87.89,7.23,41.95,129.5,28.02,2,"Utica FM"
"67",6174,6.52,25.7,2.05,0.001,3.69,2.11,1.12,9.97,0.04,0.04,6.97,10,12.25,114.62,50.33,89.63,9.63,41.8,110.28,27.01,1,"Utica FM"
"68",6174.6,6.93,28.16,2.11,0.43,3.81,2.44,1.57,7.47,0.03,0.08,6.15,162.65,8.73,101.76,66.5,85.27,9.5,44.41,129.12,30.26,2,"Utica FM"
"69",6175,6.76,27.11,2.12,0.43,3.78,2.24,1.14,8.58,0.04,0.11,6.95,147.63,10.265,113.32,48.41,79.76,9.73,42.85,131.71,32.98,2,"Utica FM"
"70",6175.6,6.05,26.27,1.99,0.37,4.12,2.36,1.11,7.26,0.04,0.11,7.89,134.75,11.8,116.62,78.18,221.94,6.56,42.32,119.53,35.01,2,"Utica FM"
