"DEPT","MMK","GR","TENS","CALI","BHVT","AHVT","LLDC","LLSC","MSFL","DPHI","NPHI","RHOB","DRHO","PE","LLS","LLD","CLLD","LATITUDE","LOGITUDE"
2676.75,0,26.1087,4045.4954,8.7626,983.8069,415.631,163.9345,152.2097,177.0616,1.5511,-0.0841,2.6835,-0.0082,4.7188,149.1096,181.9053,5.4974,"41.12738","-81.056164"
2677,0,26.7617,4035.8386,8.769,983.7023,415.5931,159.9626,145.1201,170.0364,1.8997,0.0623,2.6775,-0.0123,4.7417,142.0746,177.374,5.6378,"41.12738","-81.056164"
2677.25,0,25.8256,4008.8938,8.7677,983.5974,415.5551,158.4366,143.6179,166.384,2.3741,0.2229,2.6694,-0.0142,4.623,140.5976,175.6442,5.6933,"41.12738","-81.056164"
2677.5,0,24.2725,4021.5674,8.7797,983.4926,415.5171,156.7185,141.9055,159.6957,2.9861,0.392,2.6589,-0.014,4.4023,138.8498,173.6613,5.7583,"41.12738","-81.056164"
2677.75,0,22.6521,4022.2822,8.7598,983.3875,415.4788,150.0313,140.3313,160.9951,3.6523,0.5124,2.6475,-0.0119,4.1049,137.3907,166.1237,6.0196,"41.12738","-81.056164"
2678,0,21.3928,4002.4675,8.7582,983.2829,415.4409,127.6223,144.9367,265.3276,4.0001,0.6096,2.6416,-0.0068,3.8301,141.9464,140.7527,7.1047,"41.12738","-81.056164"
2678.25,0,21.754,4003.4956,8.7614,983.1783,415.4032,118.4675,157.4999,197.5645,3.9643,0.6787,2.6422,-0.0021,3.7114,154.344,130.4083,7.6682,"41.12738","-81.056164"
2678.5,0,22.5295,4022.3379,8.7695,983.0736,415.3653,123.1394,152.5139,66.7868,3.6118,0.7419,2.6482,0.001,3.7774,149.3745,135.6642,7.3711,"41.12738","-81.056164"
2678.75,0,23.6195,4034.5093,8.7733,982.9688,415.3273,126.6797,134.1821,46.2426,2.9802,0.7488,2.659,0.0029,4.0045,131.2591,139.6544,7.1605,"41.12738","-81.056164"
2679,0,24.5501,4017.8794,8.7731,982.8638,415.2891,114.8879,119.0383,45.2437,2.5196,0.801,2.6669,0.0017,4.2397,116.3292,126.3478,7.9147,"41.12738","-81.056164"
2679.25,0,24.0425,3996.6328,8.7655,982.7589,415.251,98.6154,98.8131,36.334,2.509,0.8257,2.6671,-4e-04,4.3158,96.4437,108.0503,9.255,"41.12738","-81.056164"
2679.5,0,23.1998,3996.9124,8.755,982.6541,415.213,92.7138,88.5573,28.1966,2.8749,0.927,2.6608,-0.0025,4.2018,86.3902,101.4427,9.8578,"41.12738","-81.056164"
2679.75,0,21.6477,4013.23,8.736,982.5496,415.1753,91.3704,86.4305,49.8471,3.6612,1.0653,2.6474,-0.0044,3.9212,84.3556,99.9667,10.0033,"41.12738","-81.056164"
2680,0,20.3234,4036.5764,8.7241,982.4456,415.1381,94.7188,91.3201,67.2431,4.2858,1.2584,2.6367,-0.0045,3.6596,89.2039,103.7448,9.639,"41.12738","-81.056164"
2680.25,0,20.2095,4014.5376,8.7155,982.3418,415.1011,111.4657,124.605,67.302,4.5466,1.3424,2.6323,-0.0045,3.5402,122.0598,122.6042,8.1563,"41.12738","-81.056164"
2680.5,0,21.5978,4011.0396,8.7189,982.2382,415.0643,128.1094,157.7008,89.0584,4.3457,1.3897,2.6357,-0.0038,3.5861,154.7701,141.3903,7.0726,"41.12738","-81.056164"
2680.75,0,25.2031,4026.9207,8.7322,982.1346,415.0275,128.673,148.2976,125.9811,3.7461,1.3726,2.6459,-0.0044,3.8021,145.3981,141.9982,7.0423,"41.12738","-81.056164"
2681,0,30.4981,4038.0181,8.7525,982.0306,414.9903,123.8989,131.6556,48.8135,3.2005,1.3385,2.6553,-0.0065,4.0574,128.8599,136.5582,7.3229,"41.12738","-81.056164"
2681.25,0,35.9092,4039.3367,8.5097,981.9262,414.9527,127.9162,135.792,42.2933,2.7608,1.3543,2.6628,-0.0086,4.2757,134.0733,141.6363,7.0603,"41.12738","-81.056164"
2681.5,0,39.9624,4016.3928,8.4816,981.8275,414.9208,143.4557,141.6124,29.1945,2.605,1.4679,2.6655,-0.0112,4.4222,140.0064,159.3524,6.2754,"41.12738","-81.056164"
2681.75,0,40.1002,4021.3435,8.4818,981.7294,414.8895,156.6342,142.4623,26.6302,2.8781,1.7422,2.6608,-0.0121,4.4044,140.853,174.358,5.7353,"41.12738","-81.056164"
2682,0,36.8257,4030.2954,8.4757,981.6313,414.8582,158.2836,140.8501,31.978,3.4598,1.9206,2.6508,-0.0131,4.2326,139.2754,176.2546,5.6736,"41.12738","-81.056164"
2682.25,0,31.3539,4020.4387,8.4697,981.5333,414.8271,159.8751,143.8684,67.1702,4.4345,1.924,2.6342,-0.0139,3.9252,142.3148,178.0856,5.6153,"41.12738","-81.056164"
2682.5,0,25.625,4020.7847,8.4826,981.4355,414.7961,165.8662,154.2195,74.1303,5.5183,1.8112,2.6156,-0.0139,3.551,152.5742,184.8854,5.4088,"41.12738","-81.056164"
2682.75,0,22.1911,4005.6077,8.486,981.3374,414.7648,219.8176,234.6572,124.4872,6.1291,1.6883,2.6052,-0.0137,3.2677,232.9816,246.6668,4.0541,"41.12738","-81.056164"
2683,0,21.0978,4006.8147,8.505,981.2392,414.7334,349.5738,407.0329,142.9955,6.1758,1.5348,2.6044,-0.0112,3.1671,405.4662,395.7105,2.5271,"41.12738","-81.056164"
2683.25,0,21.9677,4007.6638,8.548,981.1406,414.7016,553.2243,627.5524,146.4927,5.5607,1.2943,2.6149,-0.0085,3.282,624.2094,625.8716,1.5978,"41.12738","-81.056164"
2683.5,0,23.4807,4007.3625,8.5535,981.041,414.6688,908.9379,922.4426,156.1741,4.5576,1.1071,2.6321,-0.006,3.5344,917.3554,1028.2195,0.9726,"41.12738","-81.056164"
2683.75,0,24.5339,3999.3384,8.543,980.9412,414.6358,1078.4027,917.4567,226.2874,3.6148,0.9483,2.6482,-0.004,3.8523,912.7277,1220.0981,0.8196,"41.12738","-81.056164"
2684,0,24.7714,4015.8896,8.5445,980.8417,414.6031,1138.7395,932.0104,362.7307,2.8446,0.7706,2.6614,-0.0025,4.1253,927.157,1288.3357,0.7762,"41.12738","-81.056164"
2684.25,0,24.4525,4008.8042,8.5564,980.7422,414.5703,1244.3882,1030.5437,419.1238,2.2079,0.6519,2.6722,-7e-04,4.334,1024.7578,1407.6359,0.7104,"41.12738","-81.056164"
2684.5,0,24.6835,4032.989,8.5737,980.6423,414.5373,1493.0576,1228.3971,481.7278,1.7407,0.5116,2.6802,6e-04,4.5336,1220.7725,1688.5297,0.5922,"41.12738","-81.056164"
2684.75,0,25.0859,4015.5317,8.551,980.5421,414.5039,1697.3801,1382.3284,507.2646,1.492,0.4754,2.6845,0.0013,4.648,1374.8235,1920.1957,0.5208,"41.12738","-81.056164"
2685,0,25.5751,4005.2388,8.5619,980.4424,414.471,1876.9041,1499.7151,624.4845,1.4278,0.3373,2.6856,6e-04,4.6957,1491.0132,2122.9709,0.471,"41.12738","-81.056164"
2685.25,0,25.3354,3995.9519,8.5419,980.3424,414.4379,1841.384,1519.0355,656.626,1.5945,0.2447,2.6827,-9e-04,4.6533,1511.2601,2083.3601,0.48,"41.12738","-81.056164"
2685.5,0,23.7649,3999.8743,8.5356,980.2429,414.4052,1827.0198,1450.2892,709.7375,1.912,0.2099,2.6773,-0.0019,4.4689,1443.183,2067.2878,0.4837,"41.12738","-81.056164"
2685.75,0,21.433,4018.3257,8.5542,980.1436,414.3727,1782.0087,1395.2777,608.1803,2.2216,0.219,2.672,-0.0023,4.2582,1387.5464,2015.8439,0.4961,"41.12738","-81.056164"
2686,0,19.7757,4024.2717,8.5352,980.0438,414.3397,1729.8282,1306.0919,577.5153,2.4654,0.2804,2.6678,-0.0023,4.0897,1299.7107,1957.3258,0.5109,"41.12738","-81.056164"
2686.25,0,19.2941,4015.0854,8.5335,979.9445,414.3072,1741.519,1253.8239,500.1349,2.5627,0.3001,2.6662,-0.0018,3.9875,1247.7679,1970.5978,0.5075,"41.12738","-81.056164"
