"","Depth_ft","Al_wt%","Si_wt%","K_wt%","Ti_wt%","Fe_wt%","S_wt%","Mg_wt%","Ca_wt%","Sr_wt%","P_wt%","Mo_ppm","V_ppm","U_ppm","Ni_ppm","Cu_ppm","Zn_ppm","Th_ppm","Rb_ppm","Zr_ppm","Pb_ppm","Chemofacies","Formation"
"104",7835,5.4,15.12,1.65,0.001,2.81,0.78,0.95,22.27,0.05,0.02,1.5,10,2,15,7.5,52.07,16.395,30.54,61.3,16.45,3,"Utica FM"
"105",7835.6,6.74,20.22,2.29,0.001,3.86,1.8,0.7,10.62,0.04,0.02,1.5,10,2,15,7.5,56.38,15.9675,51.33,118.99,25.97,3,"Utica FM"
"106",7836,8.37,22.91,2.54,0.001,3.86,1.4,0.88,9.58,0.04,0.02,1.5,10,2,15,7.5,70.1,15.75375,51.08,112.48,17.85,3,"Utica FM"
"107",7836.6,8.05,22.74,2.67,0.001,3.8,1.49,0.86,8.56,0.03,0.02,1.5,10,6.49,55.19,20.3,69.58,15.54,53.47,110.99,22.06,3,"Utica FM"
"108",7837,8.26,23.09,2.68,0.001,4.1,1.87,0.86,8.05,0.03,0.02,1.5,10,2,15,7.5,64.15,17.54,53.97,109.21,28.28,3,"Utica FM"
"109",7837.6,7.98,21.33,2.3,0.001,3.78,1.48,1.04,11.85,0.04,0.02,1.5,10,2,15,7.5,57.45,18.415,46.59,105.1,24.62,3,"Utica FM"
"110",7838,6.93,18.57,1.94,0.001,3.75,1.6,1.06,16.61,0.05,0.02,1.5,10,2,15,7.5,57.06,18.8525,39.2,84.54,26.51,3,"Utica FM"
"111",7838.6,8.13,23.57,2.52,0.001,3.77,2.31,1.15,8.16,0.03,0.02,1.5,10,2,15,7.5,7.5,19.07125,52.44,121.39,5,3,"Utica FM"
"112",7839,7.32,20.13,2.13,0.001,3.56,1.26,1.44,14.25,0.05,0.02,1.5,10,2,15,7.5,7.5,19.180625,44.3,96.87,5,3,"Utica FM"
"113",7839.6,8.85,23.54,2.46,0.001,3.95,1.69,1.81,9.02,0.04,0.02,1.5,10,2,15,7.5,7.5,19.2353125,52.9,112.28,5,3,"Utica FM"
"114",7840,8.72,24.24,2.55,0.001,4.05,1.8,1.31,7.69,0.03,0.02,1.5,10,2,15,7.5,60.3,19.26265625,52.95,107.7,34.23,3,"Utica FM"
"115",7840.6,4.07,13.7,2.23,0.001,3.79,1.08,0.51,13.75,0.04,0.02,1.5,10,2,15,7.5,67.05,19.276328125,49.58,103.01,25.87,3,"Utica FM"
"116",7841,8.01,22.79,2.61,0.001,4.03,1.63,0.79,8.57,0.03,0.02,1.5,10,2,15,7.5,7.5,19.2831640625,54.57,118.15,5,3,"Utica FM"
"117",7841.6,8.46,23.53,2.7,0.001,3.94,1.56,1,8.14,0.03,0.02,1.5,10,2,15,7.5,7.5,19.28658203125,54.03,114.11,5,3,"Utica FM"
"118",7842,8.35,23.54,2.41,0.001,3.97,1.67,1.21,9.82,0.03,0.02,1.5,10,2,15,7.5,7.5,19.288291015625,50.81,110.29,5,3,"Utica FM"
"119",7842,9.24,25.63,2.68,0.001,4.04,1.71,1.34,7.25,0.03,0.02,1.5,10,2,15,7.5,7.5,19.2891455078125,55.25,109.13,5,3,"Utica FM"
"120",7843,8.42,25.78,2.63,0.001,4.26,2.96,0.88,6.07,0.04,0.09,1.5,10,2,15,38.18,84.39,19.2895727539062,51.33,151.97,20.7,3,"Utica FM"
"121",7843.6,9.2,24.88,2.85,0.001,4.11,1.77,1.08,7.43,0.03,0.02,1.5,10,2,15,7.5,85.09,19.2897863769531,54.63,110.38,26.43,3,"Utica FM"
"122",7844,8.66,23.21,2.42,0.001,3.72,0.87,1.16,12.06,0.04,0.02,1.5,10,2,15,7.5,81.3,19.2898931884766,47.44,96.82,17.85,3,"Utica FM"
"123",7844.6,9.1,25.6,2.75,0.001,4.05,1.35,1.07,7.26,0.03,0.02,1.5,10,2,81.77,7.5,106.17,19.2899465942383,55.87,118.02,24.63,3,"Utica FM"
"124",7845,7.93,24.08,2.66,0.001,3.77,0.95,0.97,6.22,0.02,0.02,1.5,10,2,15,30.7,96.66,19.2899732971191,59.97,117.71,17.5,3,"Utica FM"
