"API_WELLNO","WH_LONG83","WH_LAT83","CSDCODE","Cum Oil","Cum Gas","SizeCategory","PointSize","Predicted_Value"
"34111246870000",-80.944835,39.824605,"PNPL",0,12385940,"Small",1,1.26013107058403
"34111246890000",-80.934171,39.751157,"PNPL",0,14432838,"Small",1,1.00607711937154
"34111246900000",-81.177079,39.861261,"PNPL",0,7862763,"Small",1,0.601467210471747
"34111246910000",-81.17706,39.861299,"PNPL",0,7416698,"Small",1,0.601467210471747
"34111246920000",-81.177041,39.861337,"PNPL",0,8505986,"Small",1,0.601467210471747
"34111246930000",-81.177153,39.861105,"PNPL",0,8271176,"Small",1,0.601467210471747
"34111246940000",-81.177134,39.861143,"PNPL",0,8096848,"Small",1,0.601467210471747
"34111246950000",-81.051169,39.648128,"PNPL",0,10028252,"Small",1,0.736152792858768
"34111246960000",-80.93413,39.751218,"PNPL",0,10376373,"Small",1,1.00607711937154
"34111246970000",-80.934115,39.751237,"PNPL",0,11721593,"Small",1,1.00607711937154
"34111246980000",-80.975656,39.820985,"PNPL",0,9308085,"Small",1,0.735377032167443
"34111246990000",-80.975702,39.820969,"PNPL",0,6558945,"Small",1,0.735377032167443
"34111247000000",-80.975753,39.820953,"PNPL",0,5697516,"Small",1,0.735377032167443
"34111247010000",-80.975803,39.820937,"PNPL",0,5216635,"Small",1,0.735377032167443
"34111247020000",-80.975853,39.820922,"PNPL",0,6699895,"Small",1,0.735377032167443
"34111247040000",-80.941661,39.634292,"PNPL",0,11179502,"Small",1,1.26973746391517
"34111247050000",-81.170998,39.866233,"PNPL",0,10158497,"Small",1,0.601467210471747
"34111247060000",-81.170945,39.866241,"PNPL",0,11583045,"Small",1,0.601467210471747
"34111247070000",-81.171052,39.866225,"PNPL",0,8737206,"Small",1,0.601467210471747
"34111247180000",-80.96413,39.823245,"PNPL",0,12421501,"Small",1,0.735377032167443
"34111247190000",-80.964062,39.823228,"PNPL",0,11878843,"Small",1,0.735377032167443
"34111247200000",-80.964193,39.823265,"PNPL",0,11612340,"Small",1,0.735377032167443
"34111247210000",-80.96426,39.823285,"PNPL",0,11899242,"Small",1,0.735377032167443
"34111247220000",-81.189784,39.857634,"PNPL",0,7889095,"Small",1,0.601467210471747
"34111247230000",-81.189767,39.857595,"PNPL",0,6862676,"Small",1,0.601467210471747
"34111247250000",-80.941669,39.634415,"PNPL",0,7659902,"Small",1,1.26973746391517
"34111247270000",-80.941657,39.634168,"PNPL",0,14446048,"Small",1,1.26973746391517
"34111247280000",-81.189849,39.857791,"PNPL",61,10770692,"Small",1,0.601467210471747
"34111247290000",-81.189831,39.857752,"PNPL",55,8839101,"Small",1,0.601467210471747
"34111247300000",-81.204209,39.859521,"PNPL",316,11170551,"Small",1,-0.241548866519182
"34111247310000",-81.204221,39.859439,"PNPL",365,15095842,"Small",1,-0.241548866519182
"34111247320000",-81.204217,39.85948,"PNPL",356,12585267,"Small",1,-0.241548866519182
"34111247330000",-81.189801,39.857675,"PNPL",0,9735777,"Small",1,0.601467210471747
"34111247440000",-81.204185,39.859683,"PNPL",0,6419949,"Small",1,-0.241548866519182
"34111247450000",-80.916227,39.841573,"PNPL",0,12631317,"Small",1,1.41482440804856
"34111247460000",-80.916257,39.841523,"PNPL",0,6431255,"Small",1,1.41482440804856
"34111247470000",-80.916164,39.84155,"PNPL",0,12621269,"Small",1,1.41482440804856
"34111247510000",-80.967869,39.824206,"PNPL",0,8206018,"Small",1,0.735377032167443
"34111247520000",-80.967911,39.824231,"PNPL",0,8192353,"Small",1,0.735377032167443
"34111247530000",-80.967953,39.824254,"PNPL",0,11622178,"Small",1,0.735377032167443
"34111247560000",-81.083928,39.682387,"PNPL",0,8581391,"Small",1,0.174933392008636
"34111247570000",-81.083906,39.682425,"PNPL",0,9775212,"Small",1,0.174933392008636
"34111247600000",-80.890691,39.745115,"PNPL",0,9789714,"Small",1,0.541356181015409
"34111247610000",-80.890654,39.745181,"PNPL",0,17829205,"Small",1,0.541356181015409
"34111247620000",-80.89432,39.848268,"PNPL",0,12599929,"Small",1,0.754839890630869
"34111247630000",-80.894244,39.84836,"PNPL",0,13713194,"Small",1,0.754839890630869
"34111247640000",-80.894284,39.848314,"PNPL",0,12887719,"Small",1,0.754839890630869
"34111247660000",-81.009147,39.666891,"PNPL",0,17965377,"Small",1,0.301883429173008
"34111247750000",-80.920803,39.783428,"PNPL",0,8008530,"Small",1,1.26847153431942
"34111247760000",-80.92084,39.783373,"PNPL",0,8778231,"Small",1,1.26847153431942
"34111247770000",-80.857949,39.713465,"PNPL",0,8747651,"Small",1,1.34857711427874
"34111247840000",-80.99323,39.815655,"PNPL",0,4557155,"Small",1,0.829960380077588
"34111247850000",-80.993276,39.815672,"PNPL",0,5625449,"Small",1,0.829960380077588
"34111247860000",-80.993325,39.815692,"PNPL",0,5725098,"Small",1,0.829960380077588
"34111247920000",-80.897562,39.677687,"PNPL",0,11561264,"Small",1,0.497096452215686
"34111247930000",-80.897626,39.677666,"PNPL",0,11240923,"Small",1,0.497096452215686
"34111247950000",-80.989432,39.745749,"PNPL",0,13516560,"Small",1,1.07091386479444
"34111247970000",-80.989463,39.745632,"PNPL",0,17088772,"Small",1,1.07091386479444
"34111247980000",-80.989416,39.74581,"PNPL",0,13415467,"Small",1,1.07091386479444
"34111247990000",-80.989447,39.745689,"PNPL",0,17396921,"Small",1,1.07091386479444
"34111248000000",-80.89765,39.67771,"PNPL",0,11313849,"Small",1,0.497096452215686
"34111248010000",-81.083951,39.682349,"PNPL",0,12127325,"Small",1,0.174933392008636
"34111248020000",-80.878774,39.79865,"PNPL",0,8522572,"Small",1,1.3698581284565
"34111248030000",-80.8787,39.798627,"PNPL",0,8360586,"Small",1,1.3698581284565
"34111248040000",-80.856754,39.803917,"PNPL",0,7784364,"Small",1,1.34853893941562
"34111248050000",-80.85666,39.803952,"PNPL",0,10700643,"Small",1,1.34853893941562
"34111248060000",-80.856728,39.803969,"PNPL",0,8294710,"Small",1,1.34853893941562
"34111248070000",-80.856686,39.8039,"PNPL",0,7137847,"Small",1,1.34853893941562
"34111248080000",-80.926951,39.688591,"PNPL",0,10725683,"Small",1,0.610819941619959
"34111248090000",-80.926894,39.688761,"PNPL",0,9345391,"Small",1,0.610819941619959
"34111248100000",-80.926861,39.688799,"PNPL",0,13784508,"Small",1,0.610819941619959
"34111248150000",-81.204192,39.859642,"PNPL",281,7423045,"Small",1,-0.241548866519182
"34111248160000",-81.2042,39.859601,"PNPL",301,9666754,"Small",1,-0.241548866519182
"34111248200000",-80.903989,39.655992,"PNPL",0,9854874,"Small",1,1.194134182417
"34111248210000",-80.903908,39.655999,"PNPL",0,10061871,"Small",1,1.194134182417
"34111248220000",-80.903829,39.656006,"PNPL",0,10271836,"Small",1,1.194134182417
"34111248230100",-81.104317,39.594449,"PNPL",0,3879914,"Small",1,-0.755008855477673
"34111248240000",-81.104277,39.594341,"PNPL",0,5410739,"Small",1,-0.755008855477673
"34111248250000",-81.104297,39.594397,"PNPL",0,6565048,"Small",1,-0.755008855477673
"34111248320000",-81.008802,39.666417,"PNPL",0,14958680,"Small",1,0.301883429173008
"34111248330000",-80.84371,39.846828,"PNPL",0,12304170,"Small",1,1.32505388952238
"34111248340000",-80.843646,39.846849,"PNPL",0,12905963,"Small",1,1.32505388952238
"34111248350000",-80.843578,39.846867,"PNPL",0,17826941,"Small",1,1.32505388952238
