Depth,Al_wt%,Si_wt%,K_wt%,Ti_wt%,Fe_wt%,S_wt%,Mg_wt%,Ca_wt%,Sr_wt%,P_wt%,Mo_ppm,V_ppm,U_ppm,Ni_ppm,Cu_ppm,Zn_ppm,Th_ppm,Rb_ppm,Zr_ppm,Pb_ppm,chemofacies,Factor1,Factor2,Factor3,TOC_(wt.%),Total_Porosity,Quartz,Plagioclase,K-Feldspar,Calcite,Siderite,Ankerite,Dolomite,Pyrite,Fluorapatite,Barite,Total_Clay,MBI
6146.6,8.45,28.87,2.72,0.001,5.77,3.75,1.35,1.25,0.01,0.11,15.58,10,13.24,164.67,63.76,83.45,13.7,57.87,125.5,80.23,1,0.399054314560066,-0.0722795390782211,-4.27154980773782,0.7672727272729574,0.04853243243243314,24.443123938879598,1.3921901528010014,2.2275042444816027,4.7215619694398,0.27843803056020033,0.8353140916806012,7.215619694397997,3,0,0,56.607809847199,0.38607809847199
6147,7.04,23.98,2.68,0.001,5.27,2.66,0.62,1.57,0.01,0.12,1.5,10,12.62,108.07,47,88.7,11.31,62.96,119.85,27.2,2,0.93172687305423,-0.11843140053278,-0.618884107723605,0.9263636363637022,0.04900990990991013,24.578947368421083,1.0526315789472873,1.6842105263156597,4.7894736842105425,0.21052631578945746,0.6315789473683724,7.894736842105425,3,0,0,56.947368421052715,0.38947368421052714
6147.6,7.81,30.56,2.46,0.001,4.93,2.67,1.37,1.21,0.02,0.12,5.7,10,12.05,125,73.12,89.46,23.68,54.44,134.7,36.75,1,0.776278508686323,-0.192965550531993,-1.67219014992203,1.1650000000001808,0.049726126126126695,24.782682512733622,0.543293718165943,0.8692699490655089,4.891341256366811,0.10865874363318861,0.32597623089956596,8.913412563668114,3,0,0,57.45670628183406,0.3945670628183406
6148,8.62,29,2.77,0.56,5.09,2.18,1.7,2.59,0.01,0.11,9.71,233.59,15.85,132.4,39.52,91.16,9.49,56.54,142.92,41.78,1,1.02789350969293,-1.43743315632993,-1.31337242478605,1.3240909090909254,0.05020360360360369,24.918505942275107,0.20373514431222883,0.32597623089956596,4.959252971137555,0.040747028862445744,0.12224108658733712,9.592529711375542,3,0,0,57.796264855687774,0.39796264855687774
6148.6,7.82,27.61,2.64,0.001,5.8,3.88,1.03,1.27,0.01,0.11,14.92,10,16.475,162.65,56.26,90.23,7.86,132.74,153.42,68.08,1,0.849699386950083,-0.549552405460991,-3.41705454175696,1.5627272727274044,0.05091981981982025,24.775280898876048,0.13483146067437163,0.26966292134874326,5.269662921348743,0.04494382022479054,0.13483146067437163,10.224719101123952,3.089887640449581,0,0,57.01123595505461,0.4053932584269749
6149,8.2,27.86,2.7,0.56,5.15,2.39,1.38,2.65,0.02,0.05,6.91,208.75,17.1,123.25,57.09,74.89,8.18,51.04,131.22,50.46,1,0.88109091179366,-1.36143575670199,-1.46747635822716,1.7218181818181488,0.051397297297297244,24.52559300873895,0.28464419475662833,0.5692883895132567,5.5692883895132566,0.09488139825220944,0.28464419475662833,10.474406991261047,3.189762796504419,0,0,55.912609238451395,0.41138576779026514
6149.6,7.55,26.76,2.28,0.46,4.88,2.42,1.44,5.72,0.02,0.11,13.34,194.6,17.54,136.25,64.71,81.77,7.78,49.67,124.85,53.67,1,0.389886678433679,-1.51454107460208,-2.43774932453425,1.9604545454546278,0.05211351351351381,24.151061173532742,0.509363295880354,1.018726591760708,6.018726591760708,0.16978776529345133,0.509363295880354,10.848938826467256,3.339575530586903,0,0,54.26466916354407,0.42037453183521417
6150,8.09,27.35,2.42,0.97,5.24,3.12,1.54,3.34,0.02,0.27,14.34,10,13.81,137.35,124.48,71.62,9.66,54.37,117.3,73.14,1,0.131562927216184,-1.08677846156468,-3.91540911657015,2.0658064516128842,0.05252185430463567,23.90137328339565,0.6591760299626106,1.3183520599252212,6.318352059925221,0.2197253433208702,0.6591760299626106,11.09862671660435,3.4394506866417403,0,0,53.16604244694086,0.42636704119850444
6150.6,7.19,23.67,2.17,0.001,4.66,2.27,2.21,9.5,0.02,0.19,11.01,10,17.8,117.19,52.82,61.47,7.19,43.86,95.11,45,1,0.245925261041003,-0.788387333549478,-2.01854732672395,2.1432258064516545,0.052978807947020125,23.52684144818944,0.8838951310863361,1.7677902621726722,6.767790262172673,0.29463171036211205,0.8838951310863361,11.47315855181056,3.589263420724224,0,0,51.51810237203353,0.43535580524345346
6151,7.21,23.62,2.17,0.001,4.78,2.12,2.17,9.11,0.03,0.15,9.9,10,12.3,117.96,54.26,75.89,7.93,103.73,112.01,35.01,1,0.690877400200054,-0.665184806098623,-1.38245855596974,2.1948387096774233,0.0532834437086093,23.277153558052344,1.033707865168593,2.067415730337186,7.067415730337186,0.344569288389531,1.033707865168593,11.722846441947656,3.689138576779062,0,0,50.41947565543032,0.44134831460674373
