"Depth","Al_wt%","Si_wt%","K_wt%","Ti_wt%","Fe_wt%","S_wt%","Mg_wt%","Ca_wt%","Sr_wt%","P_wt%","Mo_ppm","V_ppm","U_ppm","Ni_ppm","Cu_ppm","Zn_ppm","Th_ppm","Rb_ppm","Zr_ppm","Pb_ppm","Formation","chemofacies","Factor1","Factor2","Factor3"
7801,9.39,25.78,2.92,0.001,4.62,2.32,1.36,4.28,0.03,0.04,1.5,10,2,15,7.5,7.5,13.101240234375,61.1,134.95,5,"Utica FM",3,1.37416455130359,1.48082319900122,0.482886968073009
7801.6,9.39,25.78,2.92,0.001,4.62,2.32,1.36,4.28,0.03,0.04,1.5,10,2,15,7.5,7.5,13.101240234375,61.1,134.95,5,"Utica FM",3,1.37416455130359,1.48082319900122,0.482886968073009
7802,9.52,25.33,2.75,0.001,2.52,2.27,1.18,15.33,0.1,0.02,1.5,10,2,15,7.5,38.4,13.1006201171875,19.66,54.49,5,"Utica FM",3,0.439624635210112,1.44911646630181,0.17090987079661
7802.6,8.17,23.44,2.69,0.001,4.08,1,1.16,7.15,0.04,0.02,1.5,10,2,15,7.5,74.29,13.1003100585937,52.63,121.84,15.23,"Utica FM",3,1.11975322740378,1.24341241463744,0.597806894364149
7803,9.15,26.1,2.86,0.001,4.4,1.89,1.06,4.79,0.03,0.02,1.5,10,2,15,38.55,91.23,13.1001550292969,60.74,126.7,17.87,"Utica FM",3,1.32035298216085,1.13713713060443,0.0206177645353896
7803.6,6.44,21.57,2.27,0.44,3.73,1.54,0.8,9.13,0.05,0.02,1.5,10,2,15,7.5,7.5,13.1000775146484,45.46,147.85,5,"Utica FM",3,0.757720509652183,1.17392075676746,0.791433452510099
7804,9.09,24.79,2.83,0.001,4.41,1.4,1.34,6.23,0.03,0.02,1.5,10,2,15,7.5,93.06,13.1000387573242,57.1,122.51,5,"Utica FM",3,1.39527742394644,1.21484494641719,0.765402647385529
7804.6,2.63,7.16,0.61,0.001,2.01,0.81,0.92,35.52,0.1,0.02,1.5,10,2,15,7.5,34.82,13.1000193786621,11.58,37.5,12.38,"Utica FM",4,-1.1042131948866,1.04480724095808,0.152685032753098
7805,4.62,13.8,1.21,0.001,2.89,1.39,1.05,24.51,0.07,0.02,1.5,10,2,15,7.5,50.57,13.1000096893311,27.71,70.96,17.67,"Utica FM",3,-0.282043284471602,1.19519805788067,0.00118453412208465
7805.6,8.2,23.58,2.91,0.001,4.33,0.93,0.85,5.55,0.04,0.08,1.5,10,2,15,7.5,7.5,13.1000048446655,61.76,118.91,5,"Utica FM",3,1.09517823122855,1.34118945767112,0.909114476333602
7806,7.24,24.46,2.12,0.001,3.57,1.47,0.75,9.92,0.05,0.02,1.5,10,2,15,7.5,65.33,13.1000024223328,45.45,126.71,13.77,"Utica FM",3,0.790296678774166,1.26302304067983,0.423988155656454
7806.6,2.4,6.78,0.62,0.001,1.78,0.52,0.3,35.81,0.09,0.02,1.5,10,2,15,50.4,22.95,13.1000012111664,11.85,30.8,5,"Utica FM",4,-1.26541139387349,0.723709692387757,0.168757223765304
7807,7.54,22.75,2.59,0.001,4.27,2.1,0.94,7.18,0.04,0.03,1.5,10,2,15,7.5,81.52,13.1000006055832,54.21,122.65,22.08,"Utica FM",3,0.993158674740418,1.43399679461169,-0.0830467547075315
7807.6,9.3,26.3,3.37,0.5,4.1,2.49,0.89,6.51,0.03,0.02,1.5,10,2,15,7.5,81.68,13.1,55.4,119.62,17.1,"Utica FM",3,1.32880687810062,1.45276587659541,0.0707494375191214
7808,9.98,26.13,2.87,0.001,4.38,1.73,1.13,6.31,0.04,0.02,1.5,10,2,15,7.5,82.3,18.15,58.33,119.13,22.38,"Utica FM",3,1.2692571159975,1.59165959851573,0.00934031509211218
7808.6,8.21,24.86,2.46,0.001,4.1,1.49,1.18,6.98,0.04,0.02,1.5,10,2,15,7.5,81.45,20.675,51.87,119.14,17.25,"Utica FM",3,1.02251121321547,1.49443908325269,0.169467314351439
7809,8.85,25.54,2.79,0.001,4.46,2.23,1.1,5.21,0.03,0.02,1.5,10,2,15,7.5,79.25,21.9375,60.55,128.82,18.29,"Utica FM",3,1.23058077680574,1.69855343142515,-0.124529468105999
7809.6,8.98,25.75,2.95,0.48,4.22,2.24,1.19,5.03,0.04,0.02,1.5,10,2,15,7.5,7.5,22.56875,57.69,122.32,5,"Utica FM",3,1.13612458013611,1.63623335642141,0.355891901719164
7810,8.65,24.62,2.74,0.001,4.5,2.99,0.89,5.45,0.03,0.02,1.5,10,2,15,7.5,7.5,22.884375,58.52,139.04,5,"Utica FM",3,1.10178168144261,1.88662112991792,-0.0308027071985696
7810.6,9.8,24.97,2.91,0.001,4.58,1.88,1.25,6.67,0.04,0.09,1.5,10,2,15,7.5,80.16,23.0421875,60.57,123.34,13.05,"Utica FM",3,1.24551951704065,1.62456336343137,0.0801897564451562
7811,9.26,25.06,2.77,0.001,4.27,2.03,1.05,6.17,0.04,0.02,1.5,10,2,15,7.5,73.15,23.12109375,58.68,117.01,10.51,"Utica FM",3,1.15131236014827,1.68726712700989,0.114588921723257
7811.6,9.52,26.4,2.95,0.52,4.51,2.18,0.91,3.96,0.03,0.02,1.5,10,2,15,7.5,69.65,23.160546875,62.87,122.39,13.17,"Utica FM",3,1.28932451001293,1.65775897731176,0.0980250964158987
7812,8.32,23.25,2.65,0.001,4.04,1.73,0.91,6.95,0.04,0.02,1.5,10,2,15,33.06,71.38,23.1802734375,57.52,120.12,15.57,"Utica FM",3,0.946432457515455,1.44074420987915,-0.0890903713947213
