Depth,Al_wt%,Si_wt%,K_wt%,Ti_wt%,Fe_wt%,S_wt%,Mg_wt%,Ca_wt%,Sr_wt%,P_wt%,Mo_ppm,V_ppm,U_ppm,Ni_ppm,Cu_ppm,Zn_ppm,Th_ppm,Rb_ppm,Zr_ppm,Pb_ppm,chemofacies,Factor1,Factor2,Factor3,TOC_(wt.%),Total_Porosity,Quartz,Plagioclase,K-Feldspar,Calcite,Siderite,Ankerite,Dolomite,Pyrite,Fluorapatite,Barite,Total_Clay,MBI
6430.6,2.17,9.36,1.36,0.38,0.69,1.14,0.82,31.53,0.18,0.38,1.5,10,8.83,90.38,7.5,20.04,31.9,37.22,46.18,7.22,4,-1.58640958379737,0.154923030035812,-0.0934598530965878,3.6337815126051356,0.03144163162321335,11.600740740740985,0,0.942962962962998,64.91259259259203,0,0,5,2.942962962962998,2.057037037037002,0,12.486666666666983,0.8251333333333302
6431,2.88,12.06,0.82,0.001,1.02,1.23,0.9,30.4,0.16,0.41,1.5,10,8.83,79.64,7.5,28.24,28.37,16.62,48.35,5,4,-1.5265319306279,0.213774227421978,-0.126576323725884,3.686890756302568,0.031788141295206324,11.808148148148206,0,0.9725925925926007,64.43851851851839,0,0,5,2.9725925925926004,2.0274074074073996,0,12.753333333333407,0.8224666666666659
6431.6,2.88,12.06,0.82,0.001,1.02,1.23,0.9,30.4,0.16,0.41,1.5,10,8.83,79.64,7.5,28.24,28.37,16.62,48.35,5,4,-1.5265319306279,0.213774227421978,-0.126576323725884,3.724999999999949,0.033411801242239324,12.0325318246111,0.03253182461110076,1.1951909476666045,63.67468175388899,0,0,4.934936350777798,3,2,0,13.130127298444403,0.8183734087694449
6432,2.26,10.12,0.71,0.001,0.75,1.31,0.3,31.74,0.19,0.39,1.5,10,8.83,91.54,30.7,7.5,32.78,15.04,44.55,5,4,-1.9500373949778,0.152989504223826,-0.464199894944404,3.694999999999983,0.03559813664596326,12.089108910891108,0.08910891089110821,1.5346534653466493,63.10891089108892,0,0,4.821782178217783,3,2,0,13.356435643564433,0.8155445544554445
6432.6,2.26,10.12,0.71,0.001,0.75,1.31,0.3,31.74,0.19,0.39,1.5,10,8.83,91.54,30.7,7.5,32.78,15.04,44.55,5,4,-1.9500373949778,0.152989504223826,-0.464199894944404,3.649999999999966,0.03887763975155412,12.173974540311248,0.17397454031124804,2.0438472418674882,62.26025459688752,0,0,4.652050919377504,3,2,0,13.695898161244992,0.8113012729844375
6433,3.17,13.31,1.78,0.12,1.12,1.39,1.42,27.42,0.15,0.43,1.5,39.46,8.83,97.35,34.35,13.06,26.07,19.39,63.87,7.4,4,-1.19058001013535,-0.310765282291093,-0.199420054385933,3.62,0.04089351851851857,12.230551626591255,0.23055162659125547,2.383309759547533,61.69448373408745,0,0,4.538896746817489,3,2,0,13.922206506365022,0.8084724186704372
6433.6,3.17,13.31,1.78,0.12,1.12,1.39,1.42,27.42,0.15,0.43,1.5,39.46,8.83,97.35,34.35,13.06,26.07,19.39,63.87,7.4,4,-1.19058001013535,-0.310765282291093,-0.199420054385933,3.7456250000000835,0.040763888888888856,12.315417256011395,0.3154172560113953,2.892503536068372,60.845827439886044,0,0,4.3691654879772095,3,2,0,14.261669024045581,0.8042291371994302
6434,1.91,8.03,0.53,1.29,0.67,1.11,0.3,33.8,0.2,0.23,1.5,10,8.83,89.24,31.37,19.28,27.73,11.38,36.1,5,4,-1.99589796992221,-0.26263506274177,-0.0422408525808335,3.829375000000012,0.04067746913580251,12.371994342291403,0.37199434229140277,3.2319660537484167,60.28005657708597,0,0,4.256011315417195,3,2,0,14.48797736916561,0.8014002828854299
6434.6,1.91,8.03,0.53,1.29,0.67,1.11,0.3,33.8,0.2,0.23,1.5,10,8.83,89.24,31.37,19.28,27.73,11.38,36.1,5,4,-1.99589796992221,-0.26263506274177,-0.0422408525808335,3.955000000000095,0.04054783950617279,12.456859971711543,0.4568599717115426,3.7411598302692557,59.431400282884574,0,0,4.086280056576915,3,2,0,14.82743988684617,0.7971570014144228
6435,3.14,10.56,1.81,2.01,0.77,0.89,1.43,24.87,0.14,0.02,1.5,10,8.83,94.84,20.49,30.09,28.75,20.99,56.36,7.05,4,-0.969344028075741,-0.313816381230133,0.584693509782551,4.038750000000024,0.040461419753086446,12.51343705799155,0.51343705799155,4.0806223479493005,58.8656294200845,0,0,3.9731258840169,3,2,0,15.0537482319662,0.7943281471004224
