"Depth","Al_wt%","Si_wt%","K_wt%","Ti_wt%","Fe_wt%","S_wt%","Mg_wt%","Ca_wt%","Sr_wt%","P_wt%","Mo_ppm","V_ppm","U_ppm","Ni_ppm","Cu_ppm","Zn_ppm","Th_ppm","Rb_ppm","Zr_ppm","Pb_ppm","Formation","chemofacies","Factor1","Factor2","Factor3"
6217,6.22,21.81,1.98,0.54,3.54,1.69,1.34,12.69,0.06,0.12,1.5,111.95,11.7775,94.71,38.23,49.53,11.03,38.12,159.27,11.99,"Utica FM",2,0.522823785680286,-0.933443116321986,0.508098083653704
6217.6,6.93,23.88,2.04,0.001,3.59,1.72,1.31,11.62,0.05,0.09,1.5,10,11.49875,99.62,32.47,57.2,10.05,102.91,147.28,10.52,"Utica FM",2,0.92523171161476,-0.488259350956763,0.676530064858354
6218,6.43,21.85,1.81,0.001,3.56,1.88,1.73,14.04,0.05,0.09,1.5,10,11.22,99.55,32.81,76.2,6.48,35.9,113.76,11.7,"Utica FM",2,0.478172633631819,-0.532644127772028,0.335232108586576
6218.6,6.33,23.61,2.1,0.001,4.08,2.35,1.65,9.85,0.04,0.13,1.5,10,11.555,99.88,53.03,84.77,6.81,42.64,118.99,20.88,"Utica FM",2,0.617163065072977,-0.585205306709773,-0.240188384088132
6219,6.6,23.44,2.23,0.47,3.77,2.03,1.05,8.97,0.04,0.16,1.5,121.65,11.7225,92.3,57.97,70.71,9.16,46.07,144.8,13.64,"Utica FM",2,0.673309291301339,-1.026230817828,0.187349886231045
6219.6,7.07,25.06,2.53,0.5,3.82,1.77,0.78,7.16,0.04,0.09,4.23,144.12,11.80625,89.35,34.34,61.69,8.98,50.14,139.81,13.06,"Utica FM",2,0.769283670283637,-0.751308620750264,0.207298427093091
6220,7.37,25.05,2.26,0.45,3.77,2.2,1.88,8.91,0.04,0.11,1.5,133.93,11.89,100.31,39.8,77.48,8.82,44.61,139.89,14.05,"Utica FM",2,0.895444133494963,-1.06015487426809,0.323173115569902
6220.6,7.8,26.74,2.37,0.001,3.71,1.96,1.5,8,0.04,0.03,1.5,10,13.01,110.27,40.37,69.29,7.95,116.63,140.97,14.69,"Utica FM",2,1.25049159769385,-0.690679341220649,0.589647850695619
6221,7.18,25.41,2.31,0.44,3.7,1.84,1.21,8.23,0.04,0.12,1.5,131.72,13.57,106.08,44.24,75.89,8.54,46.03,141.43,13.2,"Utica FM",2,0.813921795436023,-1.18643351957103,0.447236025275564
6221.6,7.65,26.48,2.31,0.43,3.78,1.87,1.06,8.9,0.04,0.11,1.5,128.1,14.13,103.1,43.4,88.19,11.96,46.3,132.75,18.77,"Utica FM",2,0.783193317413371,-1.00027040012733,0.169876275307598
