Depth,Al_wt%,Si_wt%,K_wt%,Ti_wt%,Fe_wt%,S_wt%,Mg_wt%,Ca_wt%,Sr_wt%,P_wt%,Mo_ppm,V_ppm,U_ppm,Ni_ppm,Cu_ppm,Zn_ppm,Th_ppm,Rb_ppm,Zr_ppm,Pb_ppm,chemofacies,Factor1,Factor2,Factor3,TOC (wt.%),Porosity,Quartz,Plagioclase,K_Feldspar,Calcite,Dolomite_Fe_Dolomite,Pyrite,Total_Clay,MBI
7794.6,8.89,25.93,2.86,0.51,4.78,1.94,1.17,4.31,0.03,0.02,1.5,10,2,15,7.5,84.74,19.63,59.21,121.96,13.38,3,1.32076494699815,1.45390014762707,0.233358160243927,0.24084745762712179,3.5116463414634063,25.554545454545455,5.680991735537191,0.35619834710743803,14.069421487603305,2.559504132231405,3.2404958677685953,48.56694214876033,0.4247107438016529
7795,8.95,25.03,2.6,0.001,4.12,1.35,1.04,6.62,0.04,0.02,1.5,10,2,15,7.5,65.69,19.03,57.77,128.18,15.39,3,1.13942803701829,1.48508642887124,0.366736091275039,0.24898305084745387,3.4938414634146415,25.481818181818248,5.694214876033046,0.3588429752066091,14.03504132231408,2.5528925619834775,3.247107438016523,48.65950413223132,0.42352066115702586
7795.6,5.97,18.94,2.56,0.001,5.41,3.32,0.96,7.99,0.03,0.09,1.5,10,2,15,7.5,7.5,16.7,55,124.91,5,3,0.793982549399155,1.71179921038629,-0.255295005398059,0.2611864406779705,3.4671341463414542,25.372727272727275,5.71404958677686,0.3628099173553719,13.983471074380166,2.5429752066115703,3.25702479338843,48.79834710743802,0.42173553719008267
7796,8.93,25.39,2.67,0.42,4.52,2.84,1.06,4.37,0.03,0.02,1.5,10,2,76.91,24.76,106.02,14.37,59.9,132.46,24.45,3,1.18286025743104,0.844435522367789,-0.412397617250715,0.26932203389830256,3.4493292682926895,25.300000000000068,5.727272727272716,0.36545454545454303,13.949090909090941,2.5363636363636424,3.263636363636358,48.890909090909005,0.4205454545454556
7796.6,5.66,15.76,1.48,0.001,3.49,1.65,1.33,19.01,0.07,0.02,1.5,10,2,15,7.5,93.36,13.735,41.64,94.12,5,3,0.266423831367274,1.04873602375595,0.379311784681977,0.28152542372881917,3.4226219512195017,25.19090909090909,5.7471074380165295,0.3694214876033058,13.897520661157024,2.5264462809917356,3.2735537190082646,49.029752066115705,0.4187603305785124
7797,8.97,26.04,2.66,0.48,4.44,2.62,1.01,5.2,0.03,0.04,1.5,10,2,15,45.85,80.7,13.4175,57.3,123.58,28.2,3,1.12610965165309,1.13613683247236,-0.587169877542041,0.2896610169491513,3.4048170731707375,25.118181818181885,5.760330578512385,0.37206611570247694,13.8631404958678,2.5198347107438077,3.2801652892561926,49.12231404958669,0.41757024793388536
7797.6,6.66,21.54,2.85,0.49,4.77,2.12,0.8,4.26,0.02,0.02,1.5,10,2,15,7.5,7.5,13.25875,60.9,126.03,5,3,1.07009921322515,1.41306731864343,0.527091257433987,0.3018644067796679,3.3781097560975497,25.00909090909091,5.780165289256199,0.37603305785123964,13.811570247933885,2.509917355371901,3.2900826446280993,49.26115702479339,0.41578512396694217
7798,7.56,21.68,2.49,0.001,4.4,2.1,0.6,9.1,0.04,0.06,1.5,10,2,15,7.5,78.97,13.179375,50.69,122.38,30.91,3,0.820232733479502,1.55412355690506,-0.426218444624064,0.31,3.360304878048785,24.936363636363705,5.793388429752055,0.3786776859504108,13.77719008264466,2.503305785123973,3.296694214876027,49.35371900826438,0.4145950413223151
7798.6,1.51,4.37,0.27,0.001,1.1,0.39,0.3,41.11,0.12,0.02,1.5,10,2,15,7.5,7.5,13.1396875,1.5,1.5,5,4,-1.72607583414402,1.05569525688338,0.349202759516813,0.3012195121951174,3.3335975609755977,24.827272727272728,5.813223140495868,0.38264462809917354,13.725619834710743,2.4933884297520663,3.306611570247934,49.49256198347108,0.4128099173553719
7799,7.03,20.3,2.53,0.001,3.99,1.15,0.94,9.41,0.04,0.02,1.5,10,2,15,7.5,7.5,13.11984375,52.5,101.76,5,3,0.763085441829693,1.35620114277254,0.749085586909356,0.2953658536585379,3.315792682926833,24.75454545454552,5.826446280991724,0.3852892561983447,13.691239669421519,2.4867768595041384,3.313223140495862,49.585123966942064,0.41161983471074487
7799.6,8.94,25.62,2.67,0.44,4.31,2.39,1.17,5.94,0.03,0.02,1.5,10,2,15,7.5,93.41,13.109921875,58.44,125.64,27.59,3,1.23607319968603,1.38397559366312,-0.205462336886969,0.2865853658536553,3.289085365853645,24.645454545454548,5.846280991735537,0.38925619834710745,13.639669421487604,2.4768595041322317,3.3231404958677686,49.72396694214876,0.4098347107438016
7800,7.45,21.73,2.41,0.001,4.12,2.39,0.3,4.64,0.03,0.02,1.5,10,2,15,7.5,75.04,13.1049609375,69.23,115,10.64,3,0.974920021519157,1.51078755268401,0.128880911367977,0.28073170731707575,3.271280487804881,24.57272727272734,5.859504132231393,0.39190082644627855,13.605289256198379,2.4702479338843037,3.3297520661156965,49.81652892561975,0.4086446280991746
7800.6,3.6,9.77,0.55,0.001,3.14,1.18,0.78,31.09,0.07,0.02,1.5,10,2,15,7.5,80.24,13.10248046875,33.14,72.78,17.68,4,-0.55283250619089,1.08948690784434,-0.0287306669828726,0.2719512195121932,3.244573170731693,24.463636363636365,5.879338842975207,0.3958677685950413,13.553719008264462,2.460330578512397,3.3396694214876033,49.95537190082645,0.4068595041322314
7801,9.39,25.78,2.92,0.001,4.62,2.32,1.36,4.28,0.03,0.04,1.5,10,2,15,7.5,7.5,13.101240234375,61.1,134.95,5,3,1.37416455130359,1.48082319900122,0.482886968073009,0.26609756097561366,3.2267682926829284,24.390909090909158,5.8925619834710625,0.39851239669421246,13.519338842975237,2.453719008264469,3.346280991735531,50.047933884297436,0.4056694214876044
7801.6,9.39,25.78,2.92,0.001,4.62,2.32,1.36,4.28,0.03,0.04,1.5,10,2,15,7.5,7.5,13.101240234375,61.1,134.95,5,3,1.37416455130359,1.48082319900122,0.482886968073009,0.25731707317073105,3.200060975609741,24.281818181818185,5.912396694214876,0.4024793388429752,13.467768595041322,2.4438016528925623,3.356198347107438,50.186776859504135,0.40388429752066113
7802,9.52,25.33,2.75,0.001,2.52,2.27,1.18,15.33,0.1,0.02,1.5,10,2,15,7.5,38.4,13.1006201171875,19.66,54.49,5,3,0.439624635210112,1.44911646630181,0.17090987079661,0.25146341463415156,3.1822560975609764,24.209090909090975,5.925619834710732,0.40512396694214636,13.433388429752098,2.4371900826446344,3.362809917355366,50.27933884297512,0.40269421487603413
7802.6,8.17,23.44,2.69,0.001,4.08,1,1.16,7.15,0.04,0.02,1.5,10,2,15,7.5,74.29,13.1003100585937,52.63,121.84,15.23,3,1.11975322740378,1.24341241463744,0.597806894364149,0.244,3.16,24.1,5.945454545454545,0.40909090909090906,13.381818181818183,2.4272727272727277,3.372727272727273,50.41818181818182,0.4009090909090909
7803,9.15,26.1,2.86,0.001,4.4,1.89,1.06,4.79,0.03,0.02,1.5,10,2,15,38.55,91.23,13.1001550292969,60.74,126.7,17.87,3,1.32035298216085,1.13713713060443,0.0206177645353896,0.23920000000000435,3.16,24.027272727272795,5.958677685950402,0.41173553719008027,13.347438016528956,2.4206611570247993,3.3793388429752005,50.51074380165281,0.3997190082644639
7803.6,6.44,21.57,2.27,0.44,3.73,1.54,0.8,9.13,0.05,0.02,1.5,10,2,15,7.5,7.5,13.1000775146484,45.46,147.85,5,3,0.757720509652183,1.17392075676746,0.791433452510099,0.232,3.166562500000004,23.91818181818182,5.9785123966942155,0.41570247933884297,13.295867768595041,2.4107438016528926,3.3892561983471077,50.64958677685951,0.39793388429752063
7804,9.09,24.79,2.83,0.001,4.41,1.4,1.34,6.23,0.03,0.02,1.5,10,2,15,7.5,93.06,13.1000387573242,57.1,122.51,5,3,1.39527742394644,1.21484494641719,0.765402647385529,0.22720000000000437,3.1709375,23.84545454545461,5.991735537190071,0.4183471074380141,13.261487603305817,2.4041322314049647,3.3958677685950356,50.742148760330494,0.39674380165289364
