Depth,Al_wt%,Si_wt%,K_wt%,Ti_wt%,Fe_wt%,S_wt%,Mg_wt%,Ca_wt%,Sr_wt%,P_wt%,Mo_ppm,V_ppm,U_ppm,Ni_ppm,Cu_ppm,Zn_ppm,Th_ppm,Rb_ppm,Zr_ppm,Pb_ppm,chemofacies,Factor1,Factor2,Factor3,TOC (wt.%),Porosity,Quartz,Plagioclase,K_Feldspar,Calcite,Dolomite_Fe_Dolomite,Pyrite,Total_Clay,MBI
7865.6,6.42,22.5,2.1,0.001,3.11,2.57,0.47,11.39,0.04,0.02,1.5,10,2,15,7.5,7.5,30.745,45.69,107.45,5,3,0.335372567560269,1.98947421095661,-0.183074603273849,1.7951999999999935,7.886488549618285,NA,NA,NA,NA,NA,NA,NA,NA
7866,5.49,21.01,1.83,0.001,2.59,1.11,0.64,14.63,0.06,0.02,1.5,10,2,15,7.5,7.5,24.7225,38.43,104.31,5,3,0.144144312130083,1.52091843482781,0.49697432508312,1.788,7.836717557251919,NA,NA,NA,NA,NA,NA,NA,NA
7866.6,5.49,21.01,1.83,0.001,2.59,1.11,0.64,14.63,0.06,0.02,1.5,10,2,15,7.5,7.5,24.7225,38.43,104.31,5,3,0.144144312130083,1.52091843482781,0.49697432508312,1.7771999999999935,7.762061068702258,NA,NA,NA,NA,NA,NA,NA,NA
7867,5.68,21.69,1.84,0.001,2.28,1,0.67,15.07,0.05,0.02,1.5,10,2,15,7.5,85.84,18.7,37.38,103.59,12.65,3,0.316295601470587,1.23718343829555,0.444176755828106,1.77,7.712290076335893,NA,NA,NA,NA,NA,NA,NA,NA
7867.6,5.68,21.69,1.84,0.001,2.28,1,0.67,15.07,0.05,0.02,1.5,10,2,15,7.5,85.84,18.7,37.38,103.59,12.65,3,0.316295601470587,1.23718343829555,0.444176755828106,1.7856000000000094,7.6376335877862305,NA,NA,NA,NA,NA,NA,NA,NA
7867.8,2.31,7.17,0.47,0.001,2.66,4.37,0.3,36.1,0.27,0.02,1.5,10,2,15,7.5,7.5,17.42,1.5,1.5,5,4,-1.96821860286605,1.64041599899105,-1.47075474662638,1.7908000000000048,7.612748091603048,NA,NA,NA,NA,NA,NA,NA,NA
7868,6.95,25.58,2.11,0.001,2.67,1.03,0.99,10.39,0.04,0.02,1.5,10,2,15,7.5,76.09,16.78,42.94,102.31,27.24,3,0.624840263431657,1.32831115700583,0.130395789234611,1.796,7.587862595419865,NA,NA,NA,NA,NA,NA,NA,NA
7868.6,6.95,25.58,2.11,0.001,2.67,1.03,0.99,10.39,0.04,0.02,1.5,10,2,15,7.5,76.09,16.78,42.94,102.31,27.24,3,0.624840263431657,1.32831115700583,0.130395789234611,1.8116000000000094,7.513206106870204,NA,NA,NA,NA,NA,NA,NA,NA
7869,5.91,22.27,1.89,0.001,2.72,1.99,0.5,13.77,0.05,0.02,1.5,10,2,15,7.5,70.09,16.46,37.87,108.04,34.42,3,0.266100159419021,1.54073898384504,-0.546714488184302,1.822,7.463435114503838,NA,NA,NA,NA,NA,NA,NA,NA
7869.6,5.91,22.27,1.89,0.001,2.72,1.99,0.5,13.77,0.05,0.02,1.5,10,2,15,7.5,70.09,16.46,37.87,108.04,34.42,3,0.266100159419021,1.54073898384504,-0.546714488184302,1.8376000000000094,7.388778625954176,NA,NA,NA,NA,NA,NA,NA,NA
7870,5.17,19.65,2,0.001,2.4,1.04,0.3,14.34,0.05,0.02,1.5,10,2,15,7.5,88.59,16.14,39.57,88.66,19.77,3,0.201263175385748,1.3202831064007,0.187209329437193,1.8479999999999999,7.339007633587811,NA,NA,NA,NA,NA,NA,NA,NA
7870.6,5.17,19.65,2,0.001,2.4,1.04,0.3,14.34,0.05,0.02,1.5,10,2,15,7.5,88.59,16.14,39.57,88.66,19.77,3,0.201263175385748,1.3202831064007,0.187209329437193,1.8636000000000095,7.264351145038149,NA,NA,NA,NA,NA,NA,NA,NA
7871,4.42,18.52,1.59,0.001,2.19,3.06,0.54,16.62,0.06,0.02,1.5,10,2,15,7.5,7.5,18.18,33.69,90.92,5,3,-0.138577991319765,1.57324917309907,-0.207896112296599,1.8739999999999999,7.214580152671783,NA,NA,NA,NA,NA,NA,NA,NA
7871.6,4.42,18.52,1.59,0.001,2.19,3.06,0.54,16.62,0.06,0.02,1.5,10,2,15,7.5,7.5,18.18,33.69,90.92,5,3,-0.138577991319765,1.57324917309907,-0.207896112296599,1.8896000000000095,7.139923664122122,NA,NA,NA,NA,NA,NA,NA,NA
7872,6.22,24.02,1.93,0.38,2.74,1.59,0.82,12.36,0.05,0.02,1.5,10,2,15,7.5,81.17,20.22,41.54,95.96,22.84,3,0.402150404788466,1.36483640230361,-0.0539026451174814,1.9,7.090152671755757,NA,NA,NA,NA,NA,NA,NA,NA
7872.6,6.22,24.02,1.93,0.38,2.74,1.59,0.82,12.36,0.05,0.02,1.5,10,2,15,7.5,81.17,20.22,41.54,95.96,22.84,3,0.402150404788466,1.36483640230361,-0.0539026451174814,1.9460714285714535,7.015496183206095,NA,NA,NA,NA,NA,NA,NA,NA
7873,6.41,23.79,2.07,0.001,2.9,1.5,0.84,11.27,0.04,0.02,1.5,10,2,15,7.5,7.5,20.045,43.77,97.07,5,3,0.466422441655783,1.49357471151948,0.490136886851422,1.9767857142857093,6.965725190839729,NA,NA,NA,NA,NA,NA,NA,NA
7873.6,6.41,23.79,2.07,0.001,2.9,1.5,0.84,11.27,0.04,0.02,1.5,10,2,15,7.5,7.5,20.045,43.77,97.07,5,3,0.466422441655783,1.49357471151948,0.490136886851422,2.0228571428571627,6.891068702290068,NA,NA,NA,NA,NA,NA,NA,NA
7874,6.02,23.47,1.94,0.001,2.94,2.8,0.57,12.06,0.05,0.02,1.5,10,2,15,7.5,157.12,19.9575,41.5,93.19,32.25,3,0.413892879128273,1.58445054430479,-0.946056108967839,2.0535714285714186,6.841297709923703,NA,NA,NA,NA,NA,NA,NA,NA
7874.6,6.02,23.47,1.94,0.001,2.94,2.8,0.57,12.06,0.05,0.02,1.5,10,2,15,7.5,157.12,19.9575,41.5,93.19,32.25,3,0.413892879128273,1.58445054430479,-0.946056108967839,2.099642857142872,6.766641221374041,NA,NA,NA,NA,NA,NA,NA,NA
7875,5.94,20.63,1.78,0.001,2.21,1.1,0.89,16.78,0.06,0.02,1.5,10,2,15,7.5,64.18,19.91375,35.09,87.86,18.84,3,0.136223987039268,1.35125762252109,0.151610660129602,2.130357142857128,6.716870229007675,NA,NA,NA,NA,NA,NA,NA,NA
7875.6,5.94,20.63,1.78,0.001,2.21,1.1,0.89,16.78,0.06,0.02,1.5,10,2,15,7.5,64.18,19.91375,35.09,87.86,18.84,3,0.136223987039268,1.35125762252109,0.151610660129602,2.1764285714285814,6.642213740458014,NA,NA,NA,NA,NA,NA,NA,NA
7876,6.64,20.91,2.44,0.001,2.78,1.17,0.68,11.57,0.04,0.02,1.5,10,2,15,7.5,79.34,19.891875,49.04,93.9,31.92,3,0.486839804086295,1.56253781800324,-0.202181424522328,2.2071428571428373,6.592442748091648,NA,NA,NA,NA,NA,NA,NA,NA
7876.6,6.64,20.91,2.44,0.001,2.78,1.17,0.68,11.57,0.04,0.02,1.5,10,2,15,7.5,79.34,19.891875,49.04,93.9,31.92,3,0.486839804086295,1.56253781800324,-0.202181424522328,2.2532142857142907,6.58,26.6,3.7,0.6,31.4,0,3.1,34.7,0.59
7877,6.64,20.91,2.44,0.001,2.78,1.17,0.68,11.57,0.04,0.02,1.5,10,2,15,7.5,79.34,19.891875,49.04,93.9,31.92,3,0.486839804086295,1.56253781800324,-0.202181424522328,2.2839285714285467,6.604935064935044,26.5666666666667,3.742222222222184,0.5955555555555596,31.337777777777834,0.01777777777776161,3.111111111111101,34.72888888888887,0.5891111111111119
7877.6,6.64,20.91,2.44,0.001,2.78,1.17,0.68,11.57,0.04,0.02,1.5,10,2,15,7.5,79.34,19.891875,49.04,93.9,31.92,3,0.486839804086295,1.56253781800324,-0.202181424522328,2.33,6.642337662337666,26.51666666666667,3.805555555555556,0.5888888888888889,31.244444444444444,0.044444444444444446,3.1277777777777778,34.772222222222226,0.5877777777777777
7878,5.83,21.47,1.95,0.001,2.92,1.62,0.99,12.24,0.04,0.02,1.5,10,2,15,47.09,68.87,19.8809375,40.85,86.67,30.26,3,0.25781522231,1.19248799078104,-0.626949627587565,2.322727272727279,6.66727272727271,26.483333333333366,3.8477777777777393,0.5844444444444484,31.18222222222228,0.06222222222220606,3.138888888888879,34.80111111111109,0.5868888888888897
7878.6,5.83,21.47,1.95,0.001,2.92,1.62,0.99,12.24,0.04,0.02,1.5,10,2,15,47.09,68.87,19.8809375,40.85,86.67,30.26,3,0.25781522231,1.19248799078104,-0.626949627587565,2.31181818181818,6.704675324675333,26.433333333333334,3.9111111111111114,0.5777777777777777,31.08888888888889,0.08888888888888889,3.1555555555555554,34.84444444444445,0.5855555555555555
7879,6.62,21.87,2.06,0.001,2.89,1.77,0.68,13.92,0.05,0.02,1.5,10,2,15,7.5,60.92,19.87,41.64,85.64,32.77,3,0.272767070577599,1.6642635902121,-0.532496239250751,2.304545454545459,6.729610389610376,26.40000000000003,3.953333333333295,0.5733333333333374,31.02666666666672,0.1066666666666505,3.1666666666666567,34.873333333333306,0.5846666666666674
7879.6,6.62,21.87,2.06,0.001,2.89,1.77,0.68,13.92,0.05,0.02,1.5,10,2,15,7.5,60.92,19.87,41.64,85.64,32.77,3,0.272767070577599,1.6642635902121,-0.532496239250751,2.293636363636361,6.767012987012999,26.35,4.016666666666667,0.5666666666666667,30.933333333333334,0.13333333333333333,3.1833333333333336,34.91666666666667,0.5833333333333333
7880,6.14,21.28,1.94,0.001,2.61,1.39,0.88,15.04,0.05,0.02,1.5,10,2,15,7.5,7.5,17.43,40.42,85.65,5,3,0.262087551349337,1.38651501389779,0.524098183686865,2.2863636363636393,6.791948051948043,26.3166666666667,4.05888888888885,0.5622222222222263,30.871111111111166,0.15111111111109496,3.1944444444444344,34.94555555555553,0.5824444444444452
7880.6,6.14,21.28,1.94,0.001,2.61,1.39,0.88,15.04,0.05,0.02,1.5,10,2,15,7.5,7.5,17.43,40.42,85.65,5,3,0.262087551349337,1.38651501389779,0.524098183686865,2.275454545454541,6.829350649350665,26.26666666666667,4.122222222222222,0.5555555555555556,30.77777777777778,0.17777777777777778,3.2111111111111112,34.988888888888894,0.5811111111111111
7881,5.17,19.37,1.57,0.001,2.35,1.83,0.98,18.64,0.06,0.02,1.5,10,2,15,7.5,89.54,16.21,33.66,95.67,20.68,3,0.0951952728590178,1.24889115958493,-0.13219522762421199,2.26818181818182,6.854285714285709,26.233333333333366,4.164444444444406,0.5511111111111151,30.71555555555561,0.19555555555553938,3.222222222222212,35.01777777777775,0.580222222222223
7881.6,5.17,19.37,1.57,0.001,2.35,1.83,0.98,18.64,0.06,0.02,1.5,10,2,15,7.5,89.54,16.21,33.66,95.67,20.68,3,0.0951952728590178,1.24889115958493,-0.13219522762421199,2.257272727272721,6.891688311688331,26.183333333333334,4.227777777777778,0.5444444444444444,30.62222222222222,0.22222222222222224,3.238888888888889,35.06111111111111,0.5788888888888889
7882,6.27,22.97,2.05,0.001,2.99,1.74,0.7,11.91,0.04,0.02,1.5,10,2,15,28.11,128.12,14.99,42.72,98.5,35.02,3,0.494447069304526,1.20589981880052,-0.580765431131437,2.25,6.916623376623376,26.15000000000003,4.269999999999961,0.540000000000004,30.560000000000056,0.23999999999998384,3.24999999999999,35.089999999999975,0.5780000000000008
7882.6,6.27,22.97,2.05,0.001,2.99,1.74,0.7,11.91,0.04,0.02,1.5,10,2,15,28.11,128.12,14.99,42.72,98.5,35.02,3,0.494447069304526,1.20589981880052,-0.580765431131437,2.2355999999999914,6.954025974025997,26.1,4.333333333333333,0.5333333333333333,30.466666666666665,0.26666666666666666,3.2666666666666666,35.13333333333333,0.5766666666666667
7883,7.15,24.58,2.25,0.001,3.1,1.46,1.18,10.52,0.04,0.02,1.5,10,2,73.04,7.5,89.12,19.4,46.23,109.51,29.91,3,0.635475954627488,1.01238422962511,-0.150181506606571,2.226,6.9789610389610415,26.0666666666667,4.3755555555555175,0.528888888888893,30.4044444444445,0.2844444444444283,3.277777777777768,35.1622222222222,0.5757777777777786
7883.6,7.15,24.58,2.25,0.001,3.1,1.46,1.18,10.52,0.04,0.02,1.5,10,2,73.04,7.5,89.12,19.4,46.23,109.51,29.91,3,0.635475954627488,1.01238422962511,-0.150181506606571,2.2115999999999914,7.016363636363664,26.01666666666667,4.438888888888889,0.5222222222222223,30.31111111111111,0.3111111111111111,3.2944444444444447,35.205555555555556,0.5744444444444444
