"Depth_ft","Al_wt%","Si_wt%","K_wt%","Ti_wt%","Fe_wt%","S_wt%","Mg_wt%","Ca_wt%","Sr_wt%","P_wt%","Mo_ppm","V_ppm","U_ppm","Ni_ppm","Cu_ppm","Zn_ppm","Th_ppm","Rb_ppm","Zr_ppm","Pb_ppm","Chemofacies","Formation","Core","chemofacies","Al_ppm","K/Al","Mg/Al","Rb/Al","Si/Al","Ti/Al","Zr/Al","Si/Ti","Cu/Al","Fe/Al","Ni/Al","Mo/Al","S/Al","U/Al","Zn/Al","Si/Ca","SGR","Sr/Ca","V/Al","Depth_ft","Factor1","Factor2","Factor3"
7794.6,8.89,25.93,2.86,0.51,4.78,1.94,1.17,4.31,0.03,0.02,1.5,10,2,15,7.5,84.74,19.63,59.21,121.96,13.38,3,"Utica FM","Washinton",3,88900,0.32,0.13,0.00067,2.9,0.057,0.0014,51,8.4e-05,0.54,0.00017,1.7e-05,0.22,2.2e-05,0.00095,6,140.28,0.007,0.00011,7794.6,1.32076494699815,1.45390014762707,0.233358160243927
7795,8.95,25.03,2.6,0.001,4.12,1.35,1.04,6.62,0.04,0.02,1.5,10,2,15,7.5,65.69,19.03,57.77,128.18,15.39,3,"Utica FM","Washinton",3,89500,0.29,0.12,0.00065,2.8,0.00011,0.0014,25000,8.4e-05,0.46,0.00017,1.7e-05,0.15,2.2e-05,0.00073,3.8,133.72,0.006,0.00011,7795,1.13942803701829,1.48508642887124,0.366736091275039
7795.6,5.97,18.94,2.56,0.001,5.41,3.32,0.96,7.99,0.03,0.09,1.5,10,2,15,7.5,7.5,16.7,55,124.91,5,3,"Utica FM","Washinton",3,59700,0.43,0.16,0.00092,3.2,0.00017,0.0021,19000,0.00013,0.91,0.00025,2.5e-05,0.56,3.4e-05,0.00013,2.4,123.76,0.0038,0.00017,7795.6,0.793982549399155,1.71179921038629,-0.255295005398059
7796,8.93,25.39,2.67,0.42,4.52,2.84,1.06,4.37,0.03,0.02,1.5,10,2,76.91,24.76,106.02,14.37,59.9,132.46,24.45,3,"Utica FM","Washinton",3,89300,0.3,0.12,0.00067,2.8,0.047,0.0015,60,0.00028,0.51,0.00086,1.7e-05,0.32,2.2e-05,0.0012,5.8,116.2,0.0069,0.00011,7796,1.18286025743104,0.844435522367789,-0.412397617250715
7796.6,5.66,15.76,1.48,0.001,3.49,1.65,1.33,19.01,0.07,0.02,1.5,10,2,15,7.5,93.36,13.735,41.64,94.12,5,3,"Utica FM","Washinton",3,56600,0.26,0.23,0.00074,2.8,0.00018,0.0017,16000,0.00013,0.62,0.00027,2.7e-05,0.29,3.5e-05,0.0016,0.83,94.62,0.0037,0.00018,7796.6,0.266423831367274,1.04873602375595,0.379311784681977
7797,8.97,26.04,2.66,0.48,4.44,2.62,1.01,5.2,0.03,0.04,1.5,10,2,15,45.85,80.7,13.4175,57.3,123.58,28.2,3,"Utica FM","Washinton",3,89700,0.3,0.11,0.00064,2.9,0.054,0.0014,54,0.00051,0.49,0.00017,1.7e-05,0.29,2.2e-05,9e-04,5,112.23,0.0058,0.00011,7797,1.12610965165309,1.13613683247236,-0.587169877542041
7797.6,6.66,21.54,2.85,0.49,4.77,2.12,0.8,4.26,0.02,0.02,1.5,10,2,15,7.5,7.5,13.25875,60.9,126.03,5,3,"Utica FM","Washinton",3,66600,0.43,0.12,0.00091,3.2,0.074,0.0019,44,0.00011,0.72,0.00023,2.3e-05,0.32,3e-05,0.00011,5.1,114.635,0.0047,0.00015,7797.6,1.07009921322515,1.41306731864343,0.527091257433987
7798,7.56,21.68,2.49,0.001,4.4,2.1,0.6,9.1,0.04,0.06,1.5,10,2,15,7.5,78.97,13.179375,50.69,122.38,30.91,3,"Utica FM","Washinton",3,75600,0.33,0.079,0.00067,2.9,0.00013,0.0016,22000,9.9e-05,0.58,2e-04,2e-05,0.28,2.6e-05,0.001,2.4,108.5575,0.0044,0.00013,7798,0.820232733479502,1.55412355690506,-0.426218444624064
7798.6,1.51,4.37,0.27,0.001,1.1,0.39,0.3,41.11,0.12,0.02,1.5,10,2,15,7.5,7.5,13.1396875,1.5,1.5,5,5,"Utica FM","Washinton",4,15100,0.18,0.2,9.9e-05,2.9,0.00066,9.9e-05,4400,5e-04,0.73,0.00099,9.9e-05,0.26,0.00013,5e-04,0.11,72.87875,0.0029,0.00066,7798.6,-1.72607583414402,1.05569525688338,0.349202759516813
7799,7.03,20.3,2.53,0.001,3.99,1.15,0.94,9.41,0.04,0.02,1.5,10,2,15,7.5,7.5,13.11984375,52.5,101.76,5,3,"Utica FM","Washinton",3,70300,0.36,0.13,0.00075,2.9,0.00014,0.0014,20000,0.00011,0.57,0.00021,2.1e-05,0.16,2.8e-05,0.00011,2.2,108.959375,0.0043,0.00014,7799,0.763085441829693,1.35620114277254,0.749085586909356
